evenness,sil
0.908444213,-0.149593198
0.901086444,0.062182228
0.828988911,-0.010717393
0.821743611,0.000956715
0.777187999,-0.013036097
0.729454151,-0.036174165
0.700221944,-0.057334318
0.62041704,0.012567462
0.555778438,-0.016995503
0.419847598,-0.064253438
0.904328851,0.025048807
0.877356407,0.046555796
0.839859974,0.004429386
0.825884587,-0.002877218
0.796969809,0.029413515
0.736308197,-0.027849483
0.646804187,-0.023895047
0.620970117,-0.082886878
0.511848019,-0.07451545
0.491183343,0.187263179
0.887408585,0.036391734
0.884596496,0.06684086
0.861061344,0.033240382
0.839011846,0.012817446
0.769874055,-0.009331685
0.714072612,-0.032961962
0.670646135,-0.045668064
0.604294108,0.078468951
0.574691622,0.104186641
0.454565679,0.015523476
0.892799448,0.052411737
0.879451073,0.015475757
0.85221541,0.037195359
0.7950318,-0.020191719
0.796014471,6.79E-05
0.714330066,-0.096987239
0.691914412,-0.027601102
0.621452181,0.003325595
0.570366456,-0.037000745
0.363121165,0.08062401
0.89711295,0.047759114
0.87747384,0.019564063
0.842439946,0.044071992
0.826920705,0.000660039
0.780191087,0.031758002
0.757302721,0.029791924
0.685296186,-0.025826394
0.636511724,-0.0529004
0.535274586,-0.026765445
0.436821046,0.062901544
0.929442398,0.076384594
0.880002899,0.019613905
0.864458406,-0.013111967
0.832130532,0.000702665
0.799723498,0.007365248
0.737937682,-0.030268152
0.664818974,-0.067358183
0.627090884,-0.041867256
0.551194436,0.010970724
0.404052262,0.082856865
0.891352433,0.066022167
0.878246375,0.057020832
0.841480998,0.038798459
0.841021857,0.045219903
0.802481214,0.007039352
0.762411773,-0.01569097
0.706276959,0.011628391
0.641865187,-0.005831734
0.534677859,0.02694135
0.388265489,-0.011342353
0.898316731,0.035464332
0.868760835,0.022964362
0.842374958,0.01446424
0.808302707,-0.033660885
0.780433482,0.005927149
0.778526344,0.044436229
0.70785712,0.007788552
0.623965974,0.036065424
0.531559122,-0.125481539
0.371130988,0.047671562
0.911898339,0.084202599
0.875812955,0.026016863
0.854682111,0.036491564
0.813451778,0.045865606
0.780320875,-0.043174699
0.712277757,-0.036415221
0.717195283,0.030307571
0.615728914,-0.137260946
0.485496527,-0.077166043
0.394989653,0.073257965
0.910089822,0.042182244
0.897493748,0.041879699
0.850840219,-0.003078377
0.82958791,0.041990441
0.776504427,0.008586875
0.767683061,0.02472055
0.700175027,0.004278921
0.654293927,0.025446255
0.500215237,-0.110899089
0.378085334,0.018325437
