evenness,sil
0.962036722,-0.05797815
0.932145994,-0.047747086
0.882303123,0.015416433
0.858351721,-0.046101627
0.817388811,-0.041858867
0.775837067,-0.038918926
0.711906435,-0.055365897
0.644648576,0.060273658
0.520931771,-0.035749716
0.366533832,-0.020709258
0.955026117,-0.067333118
0.932976714,-0.059229125
0.887220259,-0.026713612
0.86698653,-0.014858311
0.83066843,-0.072787988
0.785832317,0.017304625
0.732563651,-0.025712594
0.640202622,-0.016990789
0.573805654,-0.014683508
0.430370558,-0.092876138
0.952729833,-0.066245405
0.931771504,-0.054919317
0.898089455,-0.016219111
0.857517243,-0.071996235
0.828146508,-0.023336614
0.776469456,-0.021187742
0.723792604,0.023983657
0.654616163,-0.008489101
0.553191649,0.027656515
0.376981264,0.031373915
0.94915502,-0.04902352
0.918687832,-0.056809214
0.895434303,-0.010087957
0.847997831,0.01333376
0.83767057,-0.04633544
0.778959269,-0.028057614
0.728628568,-0.050234742
0.645941721,0.014771333
0.550113379,0.068793067
0.397189066,0.019248334
0.949986863,-0.048999582
0.926179677,-0.071208173
0.901521661,-0.049666182
0.869016311,-0.055946489
0.82837087,0.012387436
0.789288598,-0.069583548
0.733023183,-0.001374772
0.667135524,0.031060808
0.55380225,-0.017155451
0.346921647,-0.025313049
0.949317453,-0.040028954
0.923127627,-0.058673866
0.901873567,-0.07505536
0.862753276,-0.032988941
0.835582863,-0.080900146
0.782707673,-0.065736777
0.713881362,-0.031024802
0.648814736,-0.021959967
0.538714127,-0.022960124
0.473019348,0.118358916
0.944862403,-0.097583816
0.927602205,-0.061295497
0.891874681,-0.059893858
0.859320232,-0.011110962
0.845385268,-0.049067408
0.792363434,-0.010866429
0.708812365,0.007636858
0.647226386,-0.0349231
0.56325585,-0.009102861
0.477307345,0.053932261
0.953172909,-0.0433831
0.920820874,-0.058212585
0.89826003,-0.047566953
0.870730165,-0.050511288
0.837407638,0.009488855
0.76612088,-0.018539429
0.731499393,-0.014254748
0.632658916,-0.047065738
0.554022583,0.002817639
0.378410458,-0.009318562
0.95419396,-0.095986385
0.92865606,-0.06185948
0.900815035,-0.033538269
0.879690825,-0.045440146
0.828176675,-0.033299818
0.782219212,-0.022310264
0.717415685,-0.063897591
0.64963433,-0.036990155
0.557803525,0.032118483
0.366714344,-0.062936874
0.954045234,-0.059318766
0.925485424,-0.042711186
0.900254576,-0.030727686
0.872513477,-0.042062362
0.830197327,-0.033956568
0.768704367,-0.03135504
0.715052453,-0.018211774
0.660961298,-0.017056756
0.53443582,0.038705912
0.394104667,0.004691056
