,total,hMAGs,mMAGs,MAGs90,MAGs80,MAGs70,MAGs60,MAGs50,,,
lorbin,458,284,174,4,42,54,27,47,,,
comebin,343,212,131,2,38,20,31,38,33.96226415,,33.52769679
semibin,224,140,84,11,26,22,19,6,102.8571429,,104.4642857
semibin2,284,208,76,1,16,21,10,28,36.53846154,,61.26760563
vamb,235,137,98,6,25,38,21,8,107.2992701,,94.89361702
avamb,267,155,112,5,31,0,0,76,83.22580645,,71.53558052
metabat2,174,105,69,3,11,17,20,18,170.4761905,,163.2183908
