,total,hMAGs,mMAGs,MAGs90,MAGs80,MAGs70,MAGs60,MAGs50,,,
lorbin,283,194,89,7,16,19,15,32,,,
comebin,225,154,71,4,17,24,12,14,25.97402597,,25.77777778
semibin,212,158,54,13,11,6,14,10,22.78481013,,33.49056604
semibin2,244,200,44,3,21,3,3,14,-3,,15.98360656
vamb,175,130,45,7,9,14,10,5,49.23076923,,61.71428571
avamb,184,137,47,7,10,0,0,30,41.60583942,,53.80434783
metabat2,165,139,26,5,7,2,7,5,39.56834532,,71.51515152
