evenness,sil
0.96207571,0.095973392
0.919524841,0.069166476
0.90303912,0.019596598
0.858926319,0.02804334
0.8455629,0.095272807
0.814869961,0.063714928
0.74711925,-0.018923899
0.639198384,-0.025631373
0.525824003,0.062036017
0.389445425,0.027009678
0.949618046,0.10212127
0.948701534,0.062422368
0.913831323,0.041100234
0.861960051,0.050919375
0.83101779,0.026736971
0.810733643,0.01187912
0.712469048,0.009969116
0.666158884,0.011931255
0.59666971,0.102418708
0.330913216,-0.023866702
0.965532485,0.122123836
0.913056578,0.041971299
0.914714285,0.118170677
0.881455646,0.054483198
0.833610377,0.035294259
0.792338038,0.008360713
0.761331114,0.096916936
0.644471342,-0.063245212
0.582805902,0.046210135
0.349425177,0.073372635
0.964252947,0.130817021
0.933509341,0.06883713
0.879302071,0.041977773
0.86525521,0.062287645
0.846013908,0.040136472
0.779404182,0.047091233
0.705475808,0.027065265
0.681713293,-0.055060889
0.566696966,0.010577832
0.4052179,0.033007901
0.94738163,0.095361594
0.93152769,0.067475972
0.908719104,0.051699393
0.865334257,0.05206577
0.836307457,0.038622585
0.793548751,0.021901666
0.725001475,-0.012947358
0.665229751,-0.000767576
0.561403823,-0.0467195
0.350566532,-0.114981476
0.945790981,0.098810131
0.940034378,0.060389643
0.891821452,0.050249869
0.878205399,0.026573652
0.82605791,-0.035135081
0.781200854,0.070848205
0.736685287,-0.017370243
0.627824845,-0.025160424
0.5643071,0.030601875
0.454572867,-0.010677495
0.96497636,0.12335213
0.933055497,0.101052343
0.886590746,0.038890854
0.883040876,0.044559426
0.810787574,0.039360819
0.789081994,0.026932204
0.73950359,-0.004727784
0.674304988,0.008630756
0.563457899,0.043336791
0.426810254,-0.02005392
0.966151313,0.064414
0.935659646,0.062911846
0.896248956,0.013457792
0.8809585,0.01531716
0.846885106,-0.009745731
0.809506849,-0.052098719
0.739296233,-0.046302149
0.692471735,-0.058251023
0.572015839,0.04736612
0.364740333,0.021558714
0.952433898,0.095553421
0.929154676,0.065933529
0.903696131,0.089000062
0.886615881,0.07192756
0.848895057,0.023365847
0.800246114,-0.071451494
0.728255913,-0.00765423
0.673809207,0.075647862
0.583954139,0.008438342
0.34289901,-0.024923786
0.956774296,0.098109637
0.936945418,0.057351073
0.901391491,0.018811613
0.887150661,0.099260618
0.834962059,0.042057698
0.787992459,-0.008733395
0.720518452,-0.01563457
0.623225049,-0.018969735
0.566236033,0.020536421
0.404925523,0.019661439
