evenness,sil
0.971533031,0.100284318
0.950276083,0.081077522
0.944572039,0.051992992
0.868007243,0.038493159
0.7870875,0.067226306
0.710002629,-0.008157789
0.66747737,0.026422606
0.513905728,-0.019270546
0.477986431,-0.076669173
0.351658202,-0.125176331
0.992787423,-0.119601833
0.964445678,0.086003085
0.891709172,0.03680609
0.860922446,0.074615122
0.796847375,-0.020883342
0.69706122,0.034417582
0.656671019,0.03440528
0.511501469,-0.069853346
0.474202085,0.111362252
0.249911011,0.093787607
0.992787423,0.076448569
0.978617828,0.066773865
0.923164255,0.036297737
0.865047608,0.029378144
0.782675225,-0.014050196
0.718247592,-0.001029959
0.642858526,-0.060979357
0.489698004,0.00860304
0.340163259,0.1130311
0.303825862,0.0511214
0.978617828,0.096795102
0.964445678,0.073466592
0.891709172,0.045268283
0.84036817,0.047296095
0.785151861,-0.025804951
0.710002629,0.020237019
0.625580754,0.108845124
0.457619504,-0.032264644
0.419922433,0.053388381
0.301082022,0.078837315
0.985702626,0.091009166
0.992787423,0.053842841
0.904149233,0.040079894
0.829431795,0.077655494
0.809353903,0.051589801
0.732341123,0.049513695
0.575421958,0.052390026
0.523916534,0.007580089
0.377617011,0.022580955
0.349438733,0.060847966
0.985702626,0.101532504
0.975942751,0.07815337
0.893587483,0.070696752
0.860922446,0.0923977
0.808177403,0.060234055
0.682891624,0.062209732
0.618785425,0.01654265
0.546351526,0.090262129
0.421282107,-0.101263373
0.311092828,0.04040486
0.992787423,0.106182755
0.975942751,0.0815813
0.916230294,0.032243942
0.858247369,0.045812686
0.805502326,-0.011091187
0.732419741,0.019043496
0.575421958,0.002087753
0.560888026,-0.0086202
0.459810905,0.082613829
0.332160961,0.039505563
0.978617828,0.090014201
0.944572039,0.075765554
0.923164255,0.036193984
0.833283372,0.010217314
0.773115264,0.034258453
0.689976422,-0.00681818
0.625580754,-0.009192908
0.508757629,-0.002320985
0.456063078,0.082815963
0.351290419,0.020371023
0.978617828,0.099862234
0.971533031,0.077938465
0.916079457,0.067326992
0.868007243,0.041929488
0.766030467,-0.01336919
0.712677706,-0.040326971
0.643916373,0.060568047
0.511501469,0.106567331
0.451537384,0.073423495
0.345805307,0.03615142
0.968857954,0.099967533
0.961773156,0.088997486
0.916079457,0.031657195
0.841118139,0.044652377
0.785151861,0.046101544
0.631237529,0.01574292
0.597217724,0.047400887
0.582683793,0.023275878
0.402644661,0.034225589
0.317624461,-0.02591685
