evenness,sil
0.964274618,0.131267673
0.930069877,0.080301985
0.916893706,0.115683845
0.872812218,0.087435909
0.832892789,0.076070817
0.787265368,0.000625245
0.716688178,0.086983463
0.687956297,0.009549436
0.571332375,0.02162837
0.436248275,-0.010083675
0.955031514,0.129589346
0.925901673,0.089167189
0.907555244,0.133996208
0.872026381,0.089643208
0.836446754,0.055227513
0.815107537,0.13678281
0.735226411,0.097169398
0.671353608,0.084828525
0.591787865,0.105103335
0.468626172,0.165172535
0.957798778,0.110947601
0.929166863,0.066702525
0.89910351,0.077268964
0.871362492,0.094151189
0.82852086,0.081294484
0.790029878,0.050459809
0.717787595,0.008848298
0.673617048,0.149797471
0.578310173,0.0370595
0.457972729,-0.082609909
0.962268063,0.126969466
0.936989073,0.090201603
0.899913002,0.096603062
0.858624672,0.092872819
0.849385568,0.053125905
0.775875437,0.021398133
0.744459166,0.17200909
0.657221951,0.117266224
0.594573667,0.081409247
0.438598491,0.036817185
0.959247536,0.104805041
0.950855662,0.108253529
0.907075186,0.097020483
0.86752362,0.062475401
0.835034851,0.084748223
0.776420116,0.050686765
0.716041101,-0.005987709
0.670210336,0.042625686
0.591918323,0.049053307
0.424050505,0.123622047
0.945957313,0.112298497
0.934739011,0.089611648
0.914007365,0.090152588
0.875985354,0.078760062
0.848167373,0.070572171
0.795363622,0.04474088
0.725481333,-0.004946581
0.647156963,0.015121045
0.57497204,0.060779684
0.445619007,0.057894826
0.951472327,0.105895531
0.93127343,0.124416341
0.910477684,0.131997569
0.884617988,0.13976848
0.837364317,0.067967626
0.792448446,0.042743442
0.714946731,-0.011140809
0.664907502,0.116100529
0.5629519,0.054610485
0.430204824,0.048229728
0.957892592,0.118186427
0.9463497,0.115347609
0.899483568,0.098220548
0.878615289,0.087827151
0.826004132,0.067551404
0.791513057,0.053335954
0.743057669,0.137605744
0.644472956,-0.009054685
0.5583878,-0.004630877
0.469690357,-0.191747415
0.960621635,0.129353447
0.94063217,0.090696647
0.91873891,0.102220516
0.884049846,0.105204212
0.824047861,0.06244752
0.787139385,0.067426022
0.736154467,0.063528699
0.670492792,0.082632806
0.549962725,0.035462959
0.439301425,0.08873399
0.950330233,0.141157173
0.931362039,0.115448752
0.904973628,0.111183809
0.869955765,0.10417142
0.828436204,0.076402127
0.798455329,0.090389913
0.725894166,0.046994714
0.6771911,0.095738516
0.534780198,0.110746595
0.440000279,0.140632807
