,bin_size
bin.lorbin_000231.fa,441
bin.lorbin_000232.fa,9
bin.lorbin_000233.fa,27
bin.lorbin_000234.fa,1
bin.lorbin_000235.fa,1
bin.lorbin_000236.fa,1
bin.lorbin_000237.fa,5
bin.lorbin_000238.fa,9
bin.lorbin_000239.fa,8
bin.lorbin_000240.fa,44
bin.lorbin_000241.fa,43
bin.lorbin_000242.fa,53
bin.lorbin_000243.fa,58
bin.lorbin_000244.fa,74
bin.lorbin_000245.fa,42
bin.lorbin_000246.fa,1
bin.lorbin_000247.fa,18
bin.lorbin_000248.fa,41
bin.lorbin_000249.fa,17
bin.lorbin_000250.fa,33
bin.lorbin_000251.fa,24
bin.lorbin_000252.fa,24
bin.lorbin_000253.fa,27
bin.lorbin_000254.fa,10
bin.lorbin_000255.fa,26
bin.lorbin_000256.fa,1
bin.lorbin_000257.fa,1
bin.lorbin_000258.fa,7
bin.lorbin_000259.fa,8
bin.lorbin_000260.fa,24
bin.lorbin_000261.fa,186
bin.lorbin_000262.fa,58
bin.lorbin_000263.fa,61
bin.lorbin_000264.fa,30
bin.lorbin_000265.fa,195
bin.lorbin_000266.fa,69
bin.lorbin_000267.fa,53
bin.lorbin_000268.fa,63
bin.lorbin_000269.fa,2
bin.lorbin_000270.fa,5
bin.lorbin_000271.fa,17
bin.lorbin_000272.fa,10
bin.lorbin_000273.fa,29
bin.lorbin_000274.fa,17
bin.lorbin_000275.fa,52
bin.lorbin_000276.fa,15
bin.lorbin_000277.fa,56
bin.lorbin_000278.fa,101
bin.lorbin_000279.fa,27
bin.lorbin_000280.fa,13
bin.lorbin_000281.fa,66
bin.lorbin_000282.fa,40
bin.lorbin_000283.fa,2
bin.lorbin_000284.fa,68
bin.lorbin_000285.fa,63
bin.lorbin_000286.fa,87
bin.lorbin_000287.fa,84
bin.lorbin_000288.fa,242
bin.lorbin_000289.fa,1
bin.lorbin_000290.fa,1
bin.lorbin_000291.fa,8
bin.lorbin_000292.fa,1
bin.lorbin_000293.fa,24
bin.lorbin_000294.fa,143
bin.lorbin_000295.fa,113
bin.lorbin_000296.fa,75
bin.lorbin_000297.fa,20
bin.lorbin_000298.fa,69
bin.lorbin_000299.fa,150
bin.lorbin_000300.fa,1
bin.lorbin_000301.fa,1
bin.lorbin_000031.fa,133
bin.lorbin_000302.fa,19
bin.lorbin_000303.fa,23
bin.lorbin_000304.fa,34
