,bin_size
bin.semibin_000279.fa,7
bin.semibin_000280.fa,69
bin.semibin_000281.fa,33
bin.semibin_000282.fa,24
bin.semibin_000283.fa,44
bin.semibin_000284.fa,1
bin.semibin_000285.fa,3
bin.semibin_000286.fa,11
bin.semibin_000287.fa,33
bin.semibin_000288.fa,65
bin.semibin_000289.fa,46
bin.semibin_000290.fa,6
bin.semibin_000291.fa,59
bin.semibin_000292.fa,21
bin.semibin_000293.fa,62
bin.semibin_000294.fa,7
bin.semibin_000295.fa,50
bin.semibin_000296.fa,88
bin.semibin_000297.fa,48
bin.semibin_000298.fa,1
bin.semibin_000299.fa,91
bin.semibin_000300.fa,51
bin.semibin_000301.fa,1
bin.semibin_000302.fa,20
bin.semibin_000303.fa,18
bin.semibin_000304.fa,36
bin.semibin_000305.fa,3
bin.semibin_000306.fa,17
bin.semibin_000307.fa,95
bin.semibin_000308.fa,72
bin.semibin_000309.fa,3
bin.semibin_000310.fa,79
bin.semibin_000311.fa,69
bin.semibin_000312.fa,3
bin.semibin_000313.fa,74
bin.semibin_000314.fa,23
bin.semibin_000315.fa,65
bin.semibin_000316.fa,46
bin.semibin_000317.fa,48
bin.semibin_000318.fa,3
bin.semibin_000319.fa,17
bin.semibin_000320.fa,8
bin.semibin_000321.fa,9
bin.semibin_000322.fa,2
bin.semibin_000323.fa,3
bin.semibin_000324.fa,32
bin.semibin_000325.fa,5
bin.semibin_000326.fa,52
bin.semibin_000327.fa,1
bin.semibin_000328.fa,76
bin.semibin_000329.fa,2
bin.semibin_000330.fa,4
bin.semibin_000331.fa,41
bin.semibin_000332.fa,3
bin.semibin_000333.fa,201
bin.semibin_000334.fa,16
bin.semibin_000335.fa,3
bin.semibin_000336.fa,65
bin.semibin_000337.fa,65
bin.semibin_000338.fa,35
bin.semibin_000339.fa,77
bin.semibin_000340.fa,39
bin.semibin_000341.fa,50
bin.semibin_000342.fa,6
bin.semibin_000343.fa,61
bin.semibin_000344.fa,56
bin.semibin_000345.fa,5
bin.semibin_000346.fa,108
bin.semibin_000347.fa,47
bin.semibin_000348.fa,53
bin.semibin_000349.fa,65
bin.semibin_000350.fa,67
bin.semibin_000351.fa,50
bin.semibin_000352.fa,98
bin.semibin_000353.fa,4
bin.semibin_000354.fa,9
bin.semibin_000355.fa,2
bin.semibin_000356.fa,64
bin.semibin_000357.fa,6
bin.semibin_000358.fa,15
bin.semibin_000359.fa,52
bin.semibin_000360.fa,44
bin.semibin_000361.fa,73
bin.semibin_000362.fa,74
bin.semibin_000363.fa,24
bin.semibin_000364.fa,49
bin.semibin_000365.fa,40
bin.semibin_000366.fa,49
bin.semibin_000367.fa,3
bin.semibin_000368.fa,63
bin.semibin_000369.fa,7
bin.semibin_000370.fa,8
bin.semibin_000371.fa,45
bin.semibin_000372.fa,19
bin.semibin_000373.fa,43
bin.semibin_000374.fa,72
bin.semibin_000375.fa,52
bin.semibin_000376.fa,43
bin.semibin_000377.fa,2
bin.semibin_000378.fa,41
bin.semibin_000379.fa,31
bin.semibin_000380.fa,64
bin.semibin_000381.fa,68
bin.semibin_000382.fa,15
bin.semibin_000383.fa,58
bin.semibin_000384.fa,52
bin.semibin_000385.fa,35
bin.semibin_000386.fa,90
bin.semibin_000387.fa,76
bin.semibin_000388.fa,36
bin.semibin_000389.fa,53
bin.semibin_000390.fa,39
bin.semibin_000391.fa,54
bin.semibin_000392.fa,24
bin.semibin_000393.fa,83
bin.semibin_000394.fa,9
bin.semibin_000395.fa,67
bin.semibin_000396.fa,63
bin.semibin_000397.fa,24
bin.semibin_000398.fa,45
bin.semibin_000399.fa,97
bin.semibin_000400.fa,39
bin.semibin_000401.fa,12
bin.semibin_000402.fa,4
bin.semibin_000403.fa,20
bin.semibin_000404.fa,39
bin.semibin_000405.fa,41
bin.semibin_000406.fa,40
bin.semibin_000407.fa,47
bin.semibin_000408.fa,4
bin.semibin_000409.fa,3
bin.semibin_000410.fa,99
bin.semibin_000411.fa,31
bin.semibin_000412.fa,32
bin.semibin_000413.fa,37
bin.semibin_000414.fa,73
bin.semibin_000415.fa,29
bin.semibin_000416.fa,5
bin.semibin_000417.fa,14
bin.semibin_000418.fa,67
bin.semibin_000419.fa,29
bin.semibin_000420.fa,53
bin.semibin_000421.fa,98
bin.semibin_000422.fa,17
bin.semibin_000423.fa,22
bin.semibin_000424.fa,41
bin.semibin_000425.fa,122
bin.semibin_000426.fa,96
bin.semibin_000427.fa,23
bin.semibin_000428.fa,28
bin.semibin_000429.fa,5
bin.semibin_000430.fa,109
bin.semibin_000431.fa,15
bin.semibin_000432.fa,9
bin.semibin_000433.fa,22
bin.semibin_000434.fa,49
bin.semibin_000435.fa,158
bin.semibin_000436.fa,1
bin.semibin_000437.fa,53
bin.semibin_000438.fa,2
bin.semibin_000439.fa,79
bin.semibin_000440.fa,18
bin.semibin_000441.fa,18
bin.semibin_000442.fa,100
bin.semibin_000443.fa,44
bin.semibin_000444.fa,25
bin.semibin_000445.fa,129
