,bin_size
bin.aamb_000337.fa,25
bin.aamb_000182.fa,24
bin.aamb_000206.fa,24
bin.aamb_000217.fa,24
bin.aamb_000041.fa,23
bin.aamb_000174.fa,23
bin.aamb_000051.fa,22
bin.aamb_000172.fa,22
bin.aamb_000241.fa,22
bin.aamb_000291.fa,22
bin.aamb_000374.fa,22
bin.aamb_000367.fa,22
bin.aamb_000044.fa,21
bin.aamb_000105.fa,21
bin.aamb_000139.fa,21
bin.aamb_000299.fa,21
bin.aamb_000361.fa,21
bin.aamb_000373.fa,21
bin.aamb_000081.fa,20
bin.aamb_000091.fa,20
bin.aamb_000120.fa,20
bin.aamb_000192.fa,20
bin.aamb_000359.fa,20
bin.aamb_000079.fa,19
bin.aamb_000168.fa,19
bin.aamb_000251.fa,19
bin.aamb_000283.fa,19
bin.aamb_000360.fa,19
bin.aamb_000008.fa,18
bin.aamb_000086.fa,18
bin.aamb_000242.fa,18
bin.aamb_000320.fa,18
bin.aamb_000026.fa,17
bin.aamb_000109.fa,17
bin.aamb_000131.fa,17
bin.aamb_000030.fa,16
bin.aamb_000038.fa,16
bin.aamb_000214.fa,16
bin.aamb_000256.fa,16
bin.aamb_000301.fa,16
bin.aamb_000357.fa,16
bin.aamb_000371.fa,16
bin.aamb_000381.fa,16
bin.aamb_000095.fa,15
bin.aamb_000108.fa,15
bin.aamb_000261.fa,15
bin.aamb_000293.fa,15
bin.aamb_000376.fa,15
bin.aamb_000033.fa,14
bin.aamb_000094.fa,14
bin.aamb_000115.fa,14
bin.aamb_000116.fa,14
bin.aamb_000336.fa,14
bin.aamb_000072.fa,13
bin.aamb_000180.fa,13
bin.aamb_000210.fa,13
bin.aamb_000302.fa,13
bin.aamb_000314.fa,13
bin.aamb_000355.fa,13
bin.aamb_000068.fa,12
bin.aamb_000130.fa,12
bin.aamb_000181.fa,12
bin.aamb_000187.fa,12
bin.aamb_000327.fa,12
bin.aamb_000047.fa,11
bin.aamb_000114.fa,11
bin.aamb_000205.fa,11
bin.aamb_000218.fa,11
bin.aamb_000220.fa,11
bin.aamb_000354.fa,11
bin.aamb_000364.fa,11
bin.aamb_000007.fa,10
bin.aamb_000098.fa,10
bin.aamb_000122.fa,10
bin.aamb_000020.fa,9
bin.aamb_000071.fa,9
bin.aamb_000195.fa,9
bin.aamb_000244.fa,9
bin.aamb_000285.fa,9
bin.aamb_000366.fa,9
bin.aamb_000325.fa,9
bin.aamb_000039.fa,8
bin.aamb_000060.fa,8
bin.aamb_000065.fa,8
bin.aamb_000112.fa,8
bin.aamb_000118.fa,8
bin.aamb_000127.fa,8
bin.aamb_000184.fa,8
bin.aamb_000194.fa,8
bin.aamb_000227.fa,8
bin.aamb_000231.fa,8
bin.aamb_000011.fa,7
bin.aamb_000049.fa,7
bin.aamb_000075.fa,7
bin.aamb_000213.fa,7
bin.aamb_000240.fa,7
bin.aamb_000262.fa,7
bin.aamb_000335.fa,7
bin.aamb_000363.fa,7
bin.aamb_000083.fa,6
bin.aamb_000085.fa,6
bin.aamb_000144.fa,6
bin.aamb_000178.fa,6
bin.aamb_000191.fa,6
bin.aamb_000199.fa,6
bin.aamb_000271.fa,6
bin.aamb_000322.fa,6
bin.aamb_000324.fa,6
bin.aamb_000088.fa,5
bin.aamb_000110.fa,5
bin.aamb_000148.fa,5
bin.aamb_000173.fa,5
bin.aamb_000228.fa,5
bin.aamb_000233.fa,5
bin.aamb_000236.fa,5
bin.aamb_000254.fa,5
bin.aamb_000267.fa,5
bin.aamb_000290.fa,5
bin.aamb_000303.fa,5
bin.aamb_000349.fa,5
bin.aamb_000319.fa,5
bin.aamb_000385.fa,5
bin.aamb_000390.fa,5
bin.aamb_000067.fa,4
