,bin_size
bin.semibin2_000240.fa,47
bin.semibin2_000241.fa,4
bin.semibin2_000242.fa,23
bin.semibin2_000243.fa,53
bin.semibin2_000244.fa,1
bin.semibin2_000245.fa,1
bin.semibin2_000246.fa,46
bin.semibin2_000247.fa,92
bin.semibin2_000248.fa,81
bin.semibin2_000249.fa,1
bin.semibin2_000250.fa,11
bin.semibin2_000251.fa,3
bin.semibin2_000252.fa,10
bin.semibin2_000253.fa,110
bin.semibin2_000254.fa,49
bin.semibin2_000255.fa,39
bin.semibin2_000256.fa,54
bin.semibin2_000257.fa,1
bin.semibin2_000258.fa,6
bin.semibin2_000259.fa,39
bin.semibin2_000260.fa,53
bin.semibin2_000261.fa,42
bin.semibin2_000262.fa,53
bin.semibin2_000263.fa,17
bin.semibin2_000264.fa,32
bin.semibin2_000265.fa,1
bin.semibin2_000266.fa,1
bin.semibin2_000267.fa,27
bin.semibin2_000268.fa,54
bin.semibin2_000269.fa,44
bin.semibin2_000270.fa,1
bin.semibin2_000271.fa,5
bin.semibin2_000272.fa,44
bin.semibin2_000273.fa,31
bin.semibin2_000274.fa,68
bin.semibin2_000275.fa,58
bin.semibin2_000276.fa,48
bin.semibin2_000277.fa,2
bin.semibin2_000278.fa,5
bin.semibin2_000279.fa,69
bin.semibin2_000280.fa,17
bin.semibin2_000281.fa,25
bin.semibin2_000282.fa,33
bin.semibin2_000283.fa,1
bin.semibin2_000284.fa,17
bin.semibin2_000285.fa,14
bin.semibin2_000286.fa,50
bin.semibin2_000287.fa,75
bin.semibin2_000288.fa,62
bin.semibin2_000289.fa,18
bin.semibin2_000290.fa,55
bin.semibin2_000291.fa,1
bin.semibin2_000292.fa,4
bin.semibin2_000293.fa,51
bin.semibin2_000294.fa,55
bin.semibin2_000295.fa,71
bin.semibin2_000296.fa,73
bin.semibin2_000297.fa,69
bin.semibin2_000298.fa,1
bin.semibin2_000299.fa,1
bin.semibin2_000300.fa,1
bin.semibin2_000301.fa,16
bin.semibin2_000302.fa,124
bin.semibin2_000303.fa,67
bin.semibin2_000304.fa,67
bin.semibin2_000305.fa,33
bin.semibin2_000306.fa,16
bin.semibin2_000307.fa,146
bin.semibin2_000308.fa,62
bin.semibin2_000309.fa,1
bin.semibin2_000310.fa,1
bin.semibin2_000311.fa,82
bin.semibin2_000312.fa,34
bin.semibin2_000313.fa,70
bin.semibin2_000314.fa,19
bin.semibin2_000315.fa,17
bin.semibin2_000316.fa,33
bin.semibin2_000317.fa,6
bin.semibin2_000318.fa,52
bin.semibin2_000319.fa,31
bin.semibin2_000320.fa,37
bin.semibin2_000321.fa,48
bin.semibin2_000322.fa,56
bin.semibin2_000323.fa,7
bin.semibin2_000324.fa,74
bin.semibin2_000325.fa,1
bin.semibin2_000326.fa,62
bin.semibin2_000327.fa,20
bin.semibin2_000328.fa,21
bin.semibin2_000329.fa,49
bin.semibin2_000330.fa,132
bin.semibin2_000331.fa,15
bin.semibin2_000332.fa,6
bin.semibin2_000333.fa,30
bin.semibin2_000334.fa,82
bin.semibin2_000335.fa,128
bin.semibin2_000336.fa,13
bin.semibin2_000337.fa,34
bin.semibin2_000338.fa,42
bin.semibin2_000339.fa,69
bin.semibin2_000340.fa,5
bin.semibin2_000341.fa,28
bin.semibin2_000342.fa,23
bin.semibin2_000343.fa,61
bin.semibin2_000344.fa,66
