,bin_size
bin.comebin_000272.fa,6
bin.comebin_000274.fa,82
bin.comebin_000275.fa,20
bin.comebin_000276.fa,20
bin.comebin_000277.fa,2
bin.comebin_000279.fa,1
bin.comebin_000280.fa,2
bin.comebin_000281.fa,1
bin.comebin_000282.fa,1
bin.comebin_000284.fa,1
bin.comebin_000285.fa,1
bin.comebin_000286.fa,58
bin.comebin_000287.fa,50
bin.comebin_000289.fa,3
bin.comebin_000290.fa,2
bin.comebin_000291.fa,58
bin.comebin_000292.fa,1
bin.comebin_000294.fa,1
bin.comebin_000295.fa,1
bin.comebin_000296.fa,59
bin.comebin_000297.fa,38
bin.comebin_000299.fa,46
bin.comebin_000300.fa,74
bin.comebin_000301.fa,54
bin.comebin_000302.fa,1
bin.comebin_000304.fa,68
bin.comebin_000305.fa,1
bin.comebin_000306.fa,104
bin.comebin_000307.fa,4
bin.comebin_000309.fa,71
bin.comebin_000310.fa,4
bin.comebin_000311.fa,47
bin.comebin_000312.fa,1
bin.comebin_000314.fa,2
bin.comebin_000315.fa,1
bin.comebin_000316.fa,11
bin.comebin_000317.fa,65
bin.comebin_000319.fa,1
bin.comebin_000320.fa,42
bin.comebin_000321.fa,51
bin.comebin_000322.fa,7
bin.comebin_000324.fa,13
bin.comebin_000325.fa,36
bin.comebin_000326.fa,1
bin.comebin_000327.fa,3
bin.comebin_000329.fa,5
bin.comebin_000330.fa,1
bin.comebin_000331.fa,69
bin.comebin_000332.fa,1
bin.comebin_000334.fa,34
bin.comebin_000335.fa,39
bin.comebin_000336.fa,1
bin.comebin_000337.fa,2
bin.comebin_000339.fa,2
bin.comebin_000340.fa,9
bin.comebin_000341.fa,1
bin.comebin_000342.fa,22
bin.comebin_000344.fa,1
bin.comebin_000345.fa,9
bin.comebin_000346.fa,42
bin.comebin_000347.fa,1
bin.comebin_000349.fa,2
bin.comebin_000350.fa,1
bin.comebin_000351.fa,39
bin.comebin_000352.fa,1
bin.comebin_000354.fa,28
bin.comebin_000355.fa,74
bin.comebin_000356.fa,24
bin.comebin_000357.fa,1
bin.comebin_000359.fa,1
bin.comebin_000360.fa,1
bin.comebin_000361.fa,15
bin.comebin_000362.fa,12
bin.comebin_000364.fa,1
bin.comebin_000365.fa,5
bin.comebin_000366.fa,17
bin.comebin_000367.fa,2
bin.comebin_000369.fa,36
bin.comebin_000370.fa,1
bin.comebin_000371.fa,73
bin.comebin_000372.fa,90
bin.comebin_000374.fa,55
bin.comebin_000375.fa,53
